Nice to meet you,はじめまして
meet,会う
Good morning,おはようございます
I'm,I amを短くしたもの
I,私は
am,いる、ある
my,私の
name,名前
is,ある、いる
hello,こんにちは
do,する
like,好む
tennis,テニス
yes,はい
fan,扇風機
pen,ペン
tennis,テニス
sun,太陽
run,走る
hat,帽子
hot,暑い
cup,カップ
cap,帽子
map,地図
mop,モップ
cut,切る，断ち切る
TV,テレビ
milk,ぎゅうにゅう
box,箱
bag,カバン
desk,机
bed,ベッド，寝床
call,に電話をかける，連絡する
South Africa,南アフリカ
love,愛、愛する
everyone,みんな
meet,会う
from,～から
Japanese,日本人
sweet,甘い
and,seque
too,～もまた
join,参加する
the,その
club,クラブ
numbers,数字
often,よく，頻繁に
with,～と一緒に
but,しかし，けれども
rugby,ラグビー
watch,見る
friend,友達
great,素晴らしい、広大な
no,いいえ
not,～でない
oh,オー（驚き）
don't,しないでください
draw,描く
and,seque
anime,アニメ
South Africa,南アフリカ
about,について、に関する
lesson,授業，講習
comic,漫画
wow,おお
are,です，ます
in,中に
art,美術，芸術
how,どのぐらい
school,学校
now,今、現在
take,取る
swimming,水泳，泳ぎ
How about you?,～はどうですか？
fish,魚
lunch,昼食
king,王様
math,数学
English,英語
strong,強い
bath,風呂
clock,置き時計
lake,湖
bike,自転車
game,ゲーム
nose,鼻
class,授業，講義
our,私たちの
Canada,カナダ
America,アメリカ
Ms.,ミセス(女の人)
Mr.,ミスター（男の人）
he,彼は
she,彼女は
new,新しい
teacher,先生
on,の上に
team,チーム
at,～で
cool,かっこいい，すずしい
Chinese,中国語，中文
cannot,できない，不可能である
some,いくつかの，幾つかの
parent,親，親族
parents,両親
China,中国，中華人民共和国
food,食べ物
father,父親
can,～できる
make,作る、～を～にする
very,非常に
well,健康な
that,あれ
read,読む
really,本当に
see,見る
excuse,許す
oops,おっと
here,ここに
welcome,歓迎する
your,あなたの
thank,に感謝する，に謝意を表する
it,それは
bird,鳥
train,列車
rain,雨，降雨
glue,接着剤
fruit,果物
beef,牛肉
sea,海
season,季節
peach,もも
day,日
beach,砂浜
speak,話す
rainy,雨降りの
cheese,チーズ
room,部屋
classroom,教室
swimming pool,スイミングプール
cook,料理する
cooking,料理
textbook,教科書
notebook,ノート，筆記帳
today,今日，現在
usually,普通は
drink,飲む
green tea,緑茶
symbol,象徴
for,のために
interesting,面白い
favorite,お気に入りの
character,文字、特性
also,もまた，同様に
what,何
family,家族
who,だれ
why,なぜ
brave,勇敢な，勇ましい
kind,種類
what's,what is を短くしたもの
who's,who isの略
around,の近くに，接近して
after,～のあとに，～の後で
online,オンライン
live,住む
come,来る，訪れる
by,のそばに、によって
walk,散歩
when,～するとき
study,勉強する
week,週
hallway,廊下，回廊
win,勝つ
next,次の
luck,運
near,の近くで，のそばで
where,どこに
practice,練習する
hard,一生懸命に
go,行く
park,公園
station,駅
under,下の
Good luck,幸運を
when's,when isの略
where's,where isの略
month,月
date,日付
water,水
T-shirt,Tシャツ
star,星、スター
round,丸い，円形の
baseball,野球
summer,夏
winter,冬
house,家
town,街
sound,に聞こえる，が聞こえる
mother,母
enjoy,楽しむ
fall,落ちる，降りる
party,政党
bake,焼く，焼成する
ball,ボール
birthday,誕生日
